127.0.0.1 - - [13/Feb/2020:23:53:32 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:54:01 +0900] "GET /pro13/include1.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:54:01 +0900] "GET /pro13/image/?????%20?.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:54:01 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:54:08 +0900] "GET /pro13/include2.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:54:08 +0900] "GET /pro13/image/?????%20?.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:56:21 +0900] "GET /pro13/include2.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:56:21 +0900] "GET /pro13/image/?????%20?.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:56:28 +0900] "GET /pro13/include1.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:56:28 +0900] "GET /pro13/image/?????%20?.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:57:34 +0900] "GET /pro13/include1.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:57:34 +0900] "GET /pro13/image/duke.png HTTP/1.1" 200 124782
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:57:44 +0900] "GET /pro13/include2.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [13/Feb/2020:23:57:44 +0900] "GET /pro13/image/duke2.png HTTP/1.1" 200 164927
